,CITY,STATE,POP_GDP,GDP_CAPITA,GVA_MAIN,MUN_EXPENDIT,COMP_TOT,COMP_A,COMP_B,COMP_C,COMP_D,COMP_E,COMP_F,COMP_G,COMP_H,COMP_I,COMP_J,COMP_K,COMP_L,COMP_M,COMP_N,COMP_O,COMP_P,COMP_Q,COMP_R,COMP_S,COMP_T,COMP_U,HOTELS,BEDS,Pr_Agencies,Pu_Agencies,Pr_Bank,Pu_Bank,Pr_Assets,Pu_Assets,Cars,Motorcycles,Wheeled_tractor,UBER,MAC,WAL-MART,POST_OFFICES
4367,Santa Helena,PR,25665,33334.0,Demais serviços,147504315,784,12,2,95,0,1,49,294,72,50,5,3,2,33,26,2,35,36,17,50,0,0,0,0,1,2,1,2,27202682,390160178,8751,4879,2,0,0,0,6
4368,Santa Helena,PB,5902,8003.0,"Administração, defesa, educação e saúde públicas e seguridade social",0,73,2,0,1,0,0,2,36,0,0,0,0,0,0,2,2,17,1,0,10,0,0,0,0,0,0,0,0,0,0,276,783,0,0,0,0,0
4369,Santa Helena,MA,41466,6284.0,"Administração, defesa, educação e saúde públicas e seguridade social",0,221,1,0,6,0,0,6,157,1,5,1,0,0,2,2,2,26,3,2,7,0,0,1,80,1,1,1,1,26116547,65834068,841,3605,0,0,0,0,2
4370,Santa Helena De Goiás,GO,38563,26845.0,Demais serviços,83250260,932,43,1,53,0,3,17,438,139,45,8,3,1,34,49,5,26,32,9,26,0,0,1,47,2,2,2,2,111068281,945914583,11763,7348,0,0,0,0,1
4371,Santa Helena De Minas,MG,6387,6480.0,"Administração, defesa, educação e saúde públicas e seguridade social",11743069,60,0,0,1,0,0,0,26,0,1,0,0,0,1,2,4,7,1,0,17,0,0,0,0,0,0,0,0,0,0,375,579,0,0,0,0,2
4372,Santa Inês,PB,3595,7499.0,"Administração, defesa, educação e saúde públicas e seguridade social",10998453,39,0,0,2,0,0,0,15,0,0,0,0,0,1,1,3,3,0,0,14,0,0,0,0,0,0,0,0,0,0,113,531,0,0,0,0,0
4373,Santa Inês,MA,83759,14691.0,Demais serviços,0,1232,5,1,67,0,3,30,801,25,56,18,7,4,30,37,3,34,54,10,47,0,0,0,0,2,4,2,4,140403478,3126750075,7946,20861,1,0,0,0,1
4374,Santa Inês,PR,1746,24405.0,"Agricultura, inclusive apoio à agricultura e a pós colheita",10431428,42,0,0,1,0,0,6,17,5,2,0,0,0,2,1,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,539,163,0,0,0,0,1
4375,Santa Inês,BA,11169,5928.0,"Administração, defesa, educação e saúde públicas e seguridade social",21488284,59,0,0,1,0,0,1,38,0,3,0,0,0,0,1,3,9,2,0,1,0,0,0,0,1,0,1,0,56818559,0,762,612,0,0,0,0,1
4376,Santa Isabel,SP,55476,22329.0,Demais serviços,125001591,1185,14,6,102,0,7,42,526,51,92,34,13,7,52,73,2,52,32,12,68,0,0,0,0,3,2,3,2,347277717,489179940,17063,6623,28,0,0,0,1
4377,Santa Isabel,GO,3847,19789.0,"Agricultura, inclusive apoio à agricultura e a pós colheita",13562152,35,5,1,3,0,0,0,14,1,2,0,0,0,2,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,503,552,0,0,0,0,2
4378,Santa Isabel Do Ivaí,PR,8877,19377.0,Demais serviços,23216694,264,3,1,44,0,1,6,137,20,14,2,0,0,8,6,2,4,4,1,11,0,0,0,0,1,1,1,1,39322950,127302009,2988,1807,1,0,0,0,2
